,■ 欢迎使用匿名科创地面站!!  匿名科创: www.anotc.com  匿名论坛: www.anobbs.com ■,,,,,,
USER_DATA1,USER_DATA2,USER_DATA3,USER_DATA4,USER_DATA5,USER_DATA6,USER_DATA7,USER_DATA8
156.2545471,15617,170460320,203227632,203161440,170393312,-81.73029327,-78.5501709
156.2357941,15615,170460448,203227488,203161312,170393440,-82.09809113,-78.74011993
156.2264099,15614,170460576,203227344,203161184,170393584,-82.24575043,-78.82212067
156.2686157,15618,170460224,203227728,203161536,170393216,-81.86712646,-78.66158295
156.2686157,15618,170460352,203227584,203161408,170393344,-81.74371338,-78.65574646
156.287384,15620,170460512,203227440,203161248,170393488,-82.45796967,-78.76396179
156.2545471,15617,170460128,203227312,203161120,170393120,-81.93026733,-78.58444214
156.2404785,15616,170460256,203227680,203161504,170393248,-82.13240051,-78.6830368
156.2545471,15617,170460416,203227520,203161344,170393408,-82.0211792,-78.99932098
156.2686157,15618,170460576,203227376,203161184,170393552,-82.33865356,-78.68108368
156.2686157,15618,170460224,203227712,203161536,170393216,-82.18187714,-78.88721466
156.2592316,15617,170460384,203227552,203161376,170393376,-81.90293884,-78.5388031
156.2733154,15619,170460544,203227392,203161216,170393536,-81.85214233,-78.86473083
156.245163,15616,170460192,203227744,203161568,170393184,-81.68888855,-78.59783936
156.3014526,15622,170460368,203227584,203161392,170393344,-81.95143127,-78.66158295
156.2123413,15613,170460512,203227408,203161248,170393520,-81.72279358,-78.59783936
156.2733154,15619,170460176,203227760,203161584,170393168,-82.43036652,-78.71837616
156.2733154,15619,170460352,203227600,203161408,170393328,-82.12204742,-78.8342514
156.2639313,15618,170460512,203227424,203161248,170393488,-82.17996216,-78.68891144
156.2826843,15620,170460176,203227776,203161584,170393152,-82.07472992,-78.56536865
156.2686157,15618,170460352,203227584,203161408,170393328,-82.19322968,-78.90982056
156.2404785,15616,170460512,203227424,203161248,170393504,-81.79104614,-78.5634613
156.3014526,15622,170460176,203227776,203161584,170393152,-82.1783905,-78.55206299
156.2826843,15620,170460352,203227584,203161408,170393328,-81.63241577,-78.52747345
156.2357941,15615,170460512,203227424,203161248,170393504,-81.87184906,-78.54447937
156.2498627,15616,170460160,203227776,203161600,170393152,-82.14169312,-78.62284088
156.2310944,15615,170460320,203227600,203161440,170393312,-81.82209778,-78.68108368
156.3155212,15623,170460512,203227456,203161248,170393472,-81.99004364,-78.43784332
156.2264099,15614,170460144,203227264,203161104,170393136,-82.00106049,-78.87084961
156.2545471,15617,170460320,203227616,203161440,170393312,-81.94087982,-78.55206299
156.3014526,15622,170460512,203227424,203161248,170393472,-81.87744141,-78.50489044
156.2920685,15621,170460176,203227776,203161584,170393152,-82.11726379,-78.56917572
156.2779999,15619,170460368,203227584,203161392,170393344,-82.00540161,-78.87697601
156.2779999,15619,170460544,203227392,203161216,170393536,-82.04135895,-78.70263672
156.2545471,15617,170460224,203227712,203161536,170393216,-81.94529724,-78.66937256
156.2498627,15616,170460400,203227536,203161360,170393392,-82.1210556,-78.92633057
156.2170258,15613,170460576,203227344,203161184,170393584,-81.81504822,-78.79795837
156.2357941,15615,170460256,203227680,203161504,170393248,-82.32491302,-78.8342514
156.2264099,15614,170460448,203227488,203161312,170393456,-81.9462204,-78.71640778
156.2498627,15616,170460128,203227296,203161120,170393120,-82.02783203,-78.75798798
156.2639313,15618,170460336,203227600,203161424,170393312,-81.88386536,-78.81002045
156.2404785,15616,170460544,203227392,203161216,170393536,-81.93731689,-78.81002045
156.3061371,15622,170460240,203227712,203161520,170393216,-81.91282654,-78.58061981
156.2357941,15615,170460432,203227488,203161328,170393424,-81.79857635,-78.54069519
156.2404785,15616,170460144,203227264,203161104,170393136,-81.9141922,-78.68498993
156.2779999,15619,170460384,203227568,203161376,170393376,-82.25340271,-78.59592438
156.2686157,15618,170460608,203227328,203161152,170393600,-81.98293304,-78.58634949
156.2498627,15616,170460320,203227600,203161440,170393312,-81.91227722,-78.61320496
156.3014526,15622,170460560,203227392,203161200,170393536,-82.51068115,-78.71640778
156.2686157,15618,170460272,203227648,203161488,170393248,-81.79949951,-78.72627258
156.2592316,15617,170460496,203227424,203161264,170393488,-82.15066528,-78.54258728
156.3061371,15622,170460256,203227712,203161504,170393216,-82.17756653,-78.48802948
156.245163,15616,170460480,203227456,203161280,170393472,-81.88909149,-78.73616028
156.2498627,15616,170460192,203227728,203161568,170393184,-81.92556,-78.84033203
156.2967682,15621,170460448,203227504,203161312,170393408,-82.12960052,-78.62477112
156.3061371,15622,170460192,203227776,203161568,170393152,-82.19329071,-78.55776215
