USER_DATA1,USER_DATA2,USER_DATA3,USER_DATA4,USER_DATA5,USER_DATA6,USER_DATA7
2916,1900,3520,3450,1821,2864,412
2935,1891,3562,3483,1844,2832,401
2925,1923,3549,3492,1848,2836,401
2963,1905,3562,3506,1858,2855,401
2921,1928,3557,3478,1844,2850,401
2935,1909,3511,3497,1849,2841,401
2963,1919,3576,3469,1844,2855,401
2949,1900,3553,3473,1826,2846,412
2925,1914,3539,3497,1816,2832,412
2935,1895,3557,3478,1844,2850,401
2977,1905,3609,3488,1867,2860,401
2939,1900,3553,3469,1844,2841,401
2968,1933,3557,3609,1848,2846,401
2930,1905,3530,3473,1848,2850,401
2916,1900,3539,3469,1821,2836,401
2925,1881,3571,3530,1821,2846,401
2930,1877,3549,3483,1844,2841,401
2939,1867,3502,3488,1835,2850,401
2968,1914,3549,3483,1840,2850,412
2972,1919,3562,3488,1848,2855,412
2921,1919,3585,3483,1849,2841,401
2972,1891,3553,3469,1848,2874,401
2935,1905,3567,3502,1844,2855,401
2944,1895,3576,3525,1853,2864,401
2921,1914,3576,3492,1807,2855,412
2949,1891,3520,3516,1840,2864,401
2958,1886,3543,3506,1830,2869,412
2949,1895,3539,3445,1811,2832,401
2935,1900,3571,3488,1816,2855,412
2944,1909,3530,3488,1867,2841,412
2958,1900,3590,3516,1830,2878,412
2972,1886,3549,3469,1849,2855,412
2921,1909,3478,3534,1844,2832,412
2953,1905,3511,3497,1848,2836,412
2939,1914,3567,3502,1849,2850,401
2958,1867,3543,3488,1821,2846,401
2907,1919,3497,3506,1844,2832,401
2921,1862,3549,3492,1844,2860,412
2925,1886,3549,3492,1821,2836,401
2925,1905,3618,3464,1840,2846,412
2921,1909,3585,3497,1858,2832,412
2953,1914,3553,3483,1844,2883,401
2949,1867,3623,3455,1821,2855,401
2939,1862,3581,3506,1867,2855,401
2949,1886,3544,3492,1826,2836,401
2921,1900,3544,3534,1807,2832,401
2930,1867,3557,3548,1844,2874,401
2925,1867,3571,3497,1821,2850,412
2939,1858,3506,3548,1816,2860,401
2949,1900,3502,3478,1826,2836,401
2930,1905,3614,3459,1840,2846,401
2944,1905,3543,3502,1862,2855,401
2939,1895,3520,3488,1840,2832,401
2944,1877,3581,3473,1844,2869,412
2930,1881,3539,3488,1858,2846,401
2925,1919,3549,3497,1840,2846,412
2944,1914,3562,3506,1821,2846,401
2949,1895,3525,3473,1830,2864,401
2939,1872,3609,3492,1862,2846,412
2958,1877,3539,3450,1816,2846,401
2949,1891,3492,3497,1816,2846,412
2930,1919,3604,3488,1848,2869,412
2958,1877,3520,3516,1844,2832,401
2935,1886,3492,3473,1826,2855,412
2930,1909,3516,3488,1835,2827,412
2935,1923,3585,3441,1844,2846,401
2968,1886,3553,3478,1840,2864,401
2935,1909,3525,3506,1844,2836,412
2953,1928,3539,3473,1844,2850,401
2925,1891,3585,3492,1862,2846,401
2911,1900,3576,3464,1844,2836,401
2939,1895,3604,3478,1844,2860,401
2921,1905,3576,3502,1853,2841,412
2968,1905,3557,3455,1848,2832,401
2935,1900,3585,3497,1849,2832,401
2935,1909,3534,3497,1848,2827,401
2949,1872,3530,3492,1840,2832,401
2925,1933,3562,3464,1826,2864,412
2949,1872,3539,3478,1835,2822,401
2911,1877,3549,3483,1830,2855,401
2930,1891,3599,3459,1835,2846,412
2911,1853,3502,3469,1848,2841,401
2944,1895,3585,3488,1844,2883,401
2935,1886,3544,3464,1821,2855,401
2968,1862,3553,3483,1848,2832,401
2949,1905,3567,3488,1835,2869,412
2921,1900,3557,3483,1835,2864,412
2935,1877,3614,3492,1816,2841,401
2930,1891,3520,3450,1844,2836,401
2958,1905,3511,3492,1849,2860,412
2963,1905,3576,3473,1826,2855,401
2949,1886,3562,3478,1840,2850,401
2953,1895,3543,3502,1840,2860,401
2953,1891,3543,3459,1821,2850,401
2953,1858,3549,3459,1844,2841,401
2916,1891,3576,3445,1821,2841,401
2935,1872,3549,3455,1835,2846,412
2935,1891,3511,3492,1853,2836,401
2916,1872,3571,3450,1844,2832,401
2925,1881,3520,3469,1849,2855,412
2953,1886,3549,3502,1853,2850,401
2897,1886,3557,3469,1844,2850,401
2944,1886,3543,3473,1840,2836,401
2949,1905,3595,3469,1835,2850,401
2907,1862,3543,3464,1840,2817,401
2944,1881,3549,3441,1835,2855,401
2949,1909,3544,3450,1844,2864,401
2944,1877,3534,3543,1835,2855,401
2939,1886,3567,3497,1830,2869,412
2930,1938,3544,3455,1826,2888,401
2963,1895,3553,3530,1830,2883,401
2921,1895,3530,3450,1844,2860,401
2907,1895,3567,3469,1840,2850,412
2930,1877,3516,3488,1844,2869,401
2958,1872,3590,3483,1835,2860,401
2930,1909,3511,3455,1826,2850,401
2916,1919,3599,3483,1844,2846,401
2939,1891,3543,3464,1848,2850,412
2968,1886,3549,3478,1826,2855,401
2944,1891,3567,3464,1849,2860,401
2949,1928,3548,3543,1844,2836,401
2921,1877,3562,3483,1807,2836,401
2968,1872,3543,3464,1844,2832,401
2911,1886,3557,3492,1848,2864,401
2921,1933,3511,3492,1830,2860,412
2911,1895,3557,3506,1867,2864,401
2921,1867,3543,3469,1835,2827,401
2939,1867,3534,3459,1840,2855,401
2897,1891,3525,3497,1816,2850,401
2930,1923,3492,3473,1853,2874,412
2968,1900,3581,3520,1844,2860,401
2963,1877,3567,3441,1835,2836,401
2911,1881,3549,3445,1844,2846,401
2944,1905,3516,3473,1826,2864,401
2953,1919,3516,3450,1826,2874,401
2888,1881,3567,3511,1848,2855,401
2935,1900,3590,3488,1807,2836,401
2930,1900,3581,3492,1849,2841,401
2907,1909,3595,3478,1853,2860,401
2944,1862,3557,3488,1811,2850,401
2953,1853,3576,3473,1811,2836,401
2958,1891,3567,3488,1830,2836,412
2935,1858,3543,3488,1811,2841,412
2953,1862,3502,3539,1807,2836,401
2939,1872,3543,3511,1853,2846,401
2925,1905,3571,3525,1844,2841,401
2949,1923,3576,3431,1844,2860,401
2892,1891,3525,3502,1835,2883,401
2958,1900,3534,3511,1844,2864,401
2958,1895,3525,3455,1835,2846,401
2907,1905,3530,3497,1826,2846,401
2902,1867,3548,3473,1830,2878,401
2958,1900,3581,3459,1811,2841,401
2935,1905,3520,3534,1844,2832,412
2935,1914,3534,3506,1840,2832,401
2902,1867,3614,3506,1849,2832,401
2935,1872,3581,3530,1816,2874,401
2888,1886,3585,3492,1830,2855,412
2949,1872,3543,3488,1835,2869,401
2902,1881,3520,3473,1844,2860,401
2911,1877,3530,3488,1844,2850,401
2968,1858,3543,3464,1816,2888,401
2953,1862,3520,3459,1849,2841,401
2930,1891,3539,3502,1807,2860,401
2930,1867,3571,3492,1835,2827,401
2944,1905,3530,3562,1830,2860,401
2911,1872,3553,3492,1844,2822,401
2921,1872,3525,3497,1840,2869,401
2930,1872,3590,3459,1844,2841,401
2963,1886,3590,3525,1844,2846,412
2939,1909,3553,3459,1862,2846,401
2907,1923,3520,3488,1826,2832,401
2921,1886,3548,3469,1816,2850,401
2939,1877,3548,3483,1844,2850,401
2958,1900,3544,3464,1844,2846,412
2916,1914,3571,3464,1830,2850,401
2963,1886,3571,3520,1844,2822,412
2949,1858,3562,3459,1849,2864,401
2911,1881,3562,3497,1858,2855,401
2949,1923,3543,3455,1821,2855,401
2963,1895,3516,3478,1802,2869,401
2953,1872,3534,3473,1849,2878,412
2911,1891,3520,3516,1830,2841,401
2949,1872,3539,3469,1849,2855,412
2930,1895,3557,3497,1840,2850,401
2949,1891,3567,3478,1835,2850,401
2907,1886,3567,3459,1835,2822,412
2977,1914,3590,3483,1835,2836,401
2930,1895,3562,3511,1821,2822,401
2921,1909,3553,3478,1844,2846,412
2944,1900,3543,3492,1849,2850,412
2949,1895,3539,3525,1853,2846,401
2958,1923,3567,3520,1826,2855,401
2963,1881,3516,3502,1844,2869,401
2925,1909,3492,3506,1849,2836,401
2911,1895,3506,3478,1830,2855,401
2935,1877,3534,3478,1816,2864,401
2939,1881,3571,3473,1835,2855,412
2944,1919,3576,3469,1835,2846,401
2921,1905,3530,3455,1835,2841,401
2921,1900,3534,3445,1826,2864,412
2930,1900,3548,3506,1844,2841,401
2944,1891,3534,3492,1826,2846,401
2939,1891,3557,3483,1840,2864,401
2935,1862,3585,3497,1835,2846,401
2916,1919,3544,3483,1849,2836,401
2939,1886,3557,3473,1849,2846,401
2935,1877,3534,3497,1840,2846,401
2897,1900,3488,3488,1840,2855,412
2916,1905,3623,3488,1844,2850,401
2944,1900,3525,3525,1848,2850,412
2911,1891,3506,3483,1835,2855,401
2902,1905,3548,3492,1840,2860,412
2953,1900,3567,3455,1835,2869,412
2935,1914,3553,3441,1844,2864,401
2939,1895,3576,3488,1849,2832,401
2907,1900,3553,3520,1830,2841,412
2953,1853,3539,3478,1830,2836,401
2935,1909,3543,3488,1840,2869,412
2939,1877,3576,3459,1858,2869,401
2916,1895,3571,3539,1848,2841,401
2925,1872,3571,3497,1844,2864,401
2935,1905,3567,3469,1840,2850,401
2963,1872,3520,3502,1840,2860,401
2930,1886,3530,3473,1835,2850,401
2930,1891,3516,3473,1844,2860,401
2953,1900,3497,3450,1811,2846,401
2953,1886,3595,3520,1821,2874,401
2953,1886,3543,3488,1830,2836,412
2977,1867,3595,3478,1849,2869,401
2897,1877,3567,3488,1840,2846,401
2953,1895,3511,3511,1840,2874,401
2944,1905,3525,3441,1844,2850,401
2888,1900,3557,3488,1862,2817,401
2907,1872,3544,3492,1830,2850,401
2939,1900,3502,3469,1844,2846,401
2949,1905,3553,3464,1844,2841,401
2921,1891,3511,3549,1830,2860,412
2958,1881,3576,3459,1821,2850,412
2902,1872,3567,3488,1853,2841,401
2972,1867,3539,3469,1840,2841,401
2897,1867,3530,3473,1830,2855,401
2944,1905,3549,3492,1858,2855,401
2902,1886,3548,3488,1849,2841,412
2968,1900,3534,3488,1849,2846,401
2930,1877,3534,3511,1840,2827,401
2972,1900,3557,3445,1840,2846,401
2921,1905,3595,3455,1840,2850,401
2944,1909,3553,3478,1816,2888,401
2911,1900,3557,3464,1835,2855,401
2953,1895,3581,3478,1840,2846,401
2953,1853,3567,3488,1830,2850,401
2897,1891,3544,3483,1830,2860,401
2911,1905,3567,3464,1802,2860,401
2958,1886,3571,3497,1821,2869,401
2907,1900,3549,3539,1835,2850,401
2935,1914,3557,3516,1835,2850,401
2935,1886,3516,3445,1821,2841,401
2916,1900,3534,3544,1821,2855,401
2996,1886,3553,3445,1844,2841,401
2925,1881,3585,3464,1830,2864,401
2921,1877,3525,3502,1816,2855,401
2968,1891,3520,3502,1835,2878,401
2911,1895,3534,3488,1844,2864,401
2968,1877,3595,3497,1844,2855,401
2953,1891,3604,3525,1835,2827,401
2963,1877,3595,3469,1830,2869,401
2958,1914,3525,3441,1816,2850,401
2916,1886,3488,3469,1844,2855,401
2921,1886,3585,3492,1835,2860,401
2958,1881,3553,3455,1811,2855,401
2939,1895,3469,3488,1821,2846,401
2958,1886,3595,3473,1844,2846,401
2953,1900,3548,3473,1807,2846,401
2888,1914,3530,3488,1807,2822,401
2982,1891,3576,3492,1830,2869,401
2953,1919,3530,3492,1835,2874,401
2935,1886,3562,3497,1844,2832,401
2972,1862,3562,3450,1849,2832,401
2935,1914,3534,3459,1844,2841,401
2907,1914,3492,3506,1849,2860,401
2953,1862,3553,3557,1858,2860,401
2925,1895,3567,3473,1844,2836,401
2921,1900,3549,3459,1853,2860,401
2953,1872,3516,3488,1802,2855,401
2953,1877,3618,3445,1821,2836,401
2916,1900,3520,3520,1826,2855,401
2953,1886,3544,3469,1848,2860,401
2949,1900,3488,3492,1816,2846,401
2939,1877,3530,3450,1862,2883,401
2911,1872,3557,3464,1816,2841,401
2953,1886,3553,3450,1835,2836,401
2930,1877,3520,3483,1826,2850,401
2911,1895,3525,3469,1840,2855,401
2935,1872,3534,3530,1835,2850,412
2939,1877,3581,3459,1830,2864,412
2930,1886,3567,3464,1848,2846,401
2916,1923,3549,3506,1826,2888,401
2916,1905,3497,3502,1853,2841,401
2930,1900,3571,3478,1844,2827,412
2958,1891,3590,3464,1816,2841,401
2916,1877,3581,3469,1835,2832,401
2958,1891,3576,3422,1826,2883,401
2897,1909,3488,3464,1844,2827,401
2925,1886,3549,3497,1840,2850,401
2963,1895,3544,3459,1844,2874,401
2953,1886,3520,3506,1844,2850,401
2892,1886,3511,3497,1835,2850,401
2902,1877,3543,3483,1826,2850,401
2902,1886,3585,3469,1867,2850,401
2925,1881,3604,3488,1830,2841,401
2953,1905,3623,3478,1816,2827,401
2930,1914,3571,3497,1835,2846,401
2953,1895,3539,3492,1840,2850,401
2892,1891,3534,3483,1848,2846,401
2907,1877,3534,3502,1853,2855,401
2897,1900,3516,3492,1849,2855,401
2921,1886,3530,3488,1844,2878,401
2907,1905,3581,3450,1826,2846,401
2907,1900,3548,3459,1830,2822,401
2944,1891,3557,3459,1835,2841,401
2935,1895,3571,3473,1802,2841,401
2930,1900,3590,3473,1848,2855,401
2949,1867,3548,3520,1844,2855,401
2944,1877,3534,3483,1849,2869,401
2925,1900,3553,3497,1826,2860,401
2958,1895,3530,3483,1816,2860,401
2930,1895,3530,3464,1826,2869,401
2930,1895,3525,3469,1840,2878,412
2953,1891,3516,3497,1830,2864,401
2944,1891,3543,3478,1830,2860,401
2902,1905,3549,3506,1821,2832,401
2986,1877,3571,3464,1844,2841,401
2930,1872,3590,3473,1835,2850,401
2911,1905,3567,3483,1811,2827,401
2972,1895,3502,3488,1821,2850,401
2911,1867,3520,3488,1849,2855,401
2963,1872,3553,3478,1849,2878,401
2930,1909,3585,3464,1840,2855,401
2944,1895,3548,3473,1821,2836,401
2916,1881,3516,3516,1830,2855,401
2949,1891,3534,3492,1840,2874,401
2888,1895,3604,3459,1826,2832,401
2963,1886,3581,3506,1840,2878,401
2968,1881,3549,3473,1826,2836,401
2939,1909,3549,3473,1844,2869,401
2911,1881,3549,3436,1844,2850,401
2921,1895,3562,3473,1848,2864,401
2963,1909,3520,3459,1849,2888,401
2921,1867,3562,3464,1830,2878,401
2939,1886,3534,3516,1830,2860,401
2977,1900,3530,3473,1826,2850,401
2939,1872,3571,3478,1835,2855,401
2939,1886,3511,3469,1826,2855,401
2935,1900,3590,3483,1849,2855,401
2935,1862,3543,3497,1835,2841,401
2930,1905,3548,3516,1840,2841,401
2944,1877,3576,3488,1826,2822,401
2902,1872,3502,3459,1840,2860,401
2907,1886,3534,3469,1848,2841,401
2944,1862,3530,3478,1816,2855,401
2916,1891,3544,3469,1811,2855,401
2925,1895,3571,3483,1848,2860,401
2939,1895,3492,3483,1844,2832,401
2916,1900,3562,3506,1867,2860,401
2921,1895,3585,3464,1844,2860,401
2939,1877,3530,3483,1840,2855,401
2935,1905,3585,3483,1853,2860,401
2897,1895,3562,3478,1835,2836,401
2902,1905,3516,3492,1849,2832,401
2944,1895,3576,3506,1849,2864,401
2944,1909,3525,3464,1816,2846,401
2968,1891,3581,3497,1807,2850,401
2916,1895,3576,3473,1849,2850,401
2892,1881,3534,3497,1821,2817,401
2907,1849,3595,3473,1862,2850,401
2944,1905,3530,3506,1858,2850,412
2907,1877,3553,3469,1844,2855,401
2907,1848,3544,3464,1844,2832,401
2897,1891,3604,3464,1835,2878,401
2930,1853,3530,3497,1844,2855,401
2930,1858,3562,3502,1811,2869,401
2968,1900,3590,3469,1840,2841,401
2953,1872,3516,3478,1844,2841,401
2897,1891,3562,3483,1826,2869,401
2911,1886,3511,3469,1849,2841,412
2930,1858,3571,3488,1844,2878,401
2968,1886,3530,3469,1802,2846,401
2939,1891,3534,3506,1849,2841,401
2907,1895,3590,3506,1840,2855,401
2944,1877,3544,3492,1844,2850,401
2972,1900,3534,3469,1840,2846,401
2916,1886,3549,3473,1816,2855,401
2968,1891,3576,3483,1835,2841,401
2972,1919,3502,3473,1849,2846,412
2930,1886,3543,3506,1844,2855,401
2916,1886,3576,3492,1835,2860,401
2925,1872,3595,3483,1849,2841,401
2921,1891,3562,3464,1844,2841,401
2911,1862,3553,3492,1835,2846,401
2930,1900,3520,3488,1849,2850,401
2930,1853,3543,3445,1840,2832,401
2935,1886,3520,3469,1853,2855,401
2907,1891,3549,3488,1835,2846,401
2963,1881,3520,3492,1830,2855,401
2968,1877,3544,3502,1858,2869,401
2907,1909,3553,3516,1830,2846,389
2958,1891,3548,3478,1840,2864,401
2897,1891,3520,3502,1835,2846,401
2925,1881,3543,3488,1844,2827,401
2939,1914,3525,3473,1826,2827,401
2921,1881,3543,3497,1835,2860,401
2892,1914,3544,3441,1858,2864,401
2930,1867,3506,3473,1848,2850,401
2949,1909,3530,3455,1853,2827,401
2902,1867,3516,3469,1844,2822,401
2892,1895,3502,3459,1849,2850,401
2897,1886,3525,3441,1848,2850,401
2972,1895,3497,3497,1844,2832,401
2921,1858,3549,3473,1835,2850,401
2935,1872,3562,3492,1811,2841,401
2911,1886,3534,3506,1849,2883,401
2935,1919,3562,3488,1826,2860,401
2953,1877,3585,3469,1835,2832,401
2925,1905,3557,3516,1840,2827,401
2963,1891,3595,3455,1816,2846,401
2944,1886,3543,3488,1826,2841,389
2935,1909,3525,3506,1862,2846,401
2925,1909,3516,3478,1830,2832,401
2944,1858,3553,3469,1844,2841,401
2977,1877,3506,3492,1848,2836,401
2935,1886,3543,3478,1840,2855,401
2916,1858,3571,3502,1830,2855,401
2944,1909,3562,3516,1826,2832,401
2949,1872,3571,3511,1826,2841,401
2963,1877,3562,3464,1816,2855,401
2939,1872,3571,3464,1848,2836,401
2949,1895,3557,3459,1844,2850,401
2916,1914,3534,3478,1807,2855,401
2911,1900,3557,3478,1835,2850,401
2925,1881,3530,3459,1840,2846,401
2921,1886,3525,3445,1844,2846,412
2930,1891,3516,3516,1830,2846,401
2916,1867,3520,3502,1840,2832,401
2963,1881,3544,3459,1858,2850,401
2977,1858,3516,3492,1848,2864,401
2930,1909,3576,3497,1835,2846,401
2935,1905,3544,3483,1821,2864,401
2944,1862,3581,3478,1844,2846,401
2958,1909,3553,3473,1821,2855,401
2949,1891,3506,3483,1848,2855,401
2911,1862,3562,3492,1811,2855,401
2921,1867,3549,3502,1840,2846,401
2921,1881,3595,3502,1835,2827,401
2935,1886,3562,3478,1849,2850,401
2949,1909,3511,3492,1835,2850,401
2902,1877,3539,3450,1802,2850,401
2921,1862,3581,3488,1830,2817,401
2883,1891,3553,3478,1849,2855,401
2925,1886,3511,3488,1849,2855,401
2916,1881,3502,3473,1821,2832,401
2958,1900,3595,3464,1840,2841,401
2930,1891,3571,3497,1844,2841,401
2925,1895,3520,3488,1840,2841,401
2925,1858,3520,3473,1858,2846,401
2925,1881,3543,3473,1853,2827,401
2916,1862,3562,3497,1826,2827,401
2968,1872,3557,3478,1835,2846,401
2939,1858,3543,3497,1821,2860,401
2949,1862,3543,3455,1848,2827,401
2944,1867,3483,3502,1826,2827,401
2939,1886,3539,3478,1849,2860,401
2921,1872,3549,3488,1849,2860,401
2907,1886,3553,3464,1840,2832,401
2897,1849,3571,3445,1849,2832,412
2939,1835,3544,3478,1844,2841,401
2935,1891,3571,3516,1840,2841,401
2935,1919,3571,3488,1844,2869,401
2939,1891,3595,3492,1821,2841,401
2925,1877,3567,3483,1844,2836,401
2925,1872,3585,3459,1840,2855,401
2949,1877,3562,3473,1844,2864,401
2939,1872,3548,3469,1835,2850,401
2944,1900,3543,3492,1844,2841,401
2925,1891,3548,3464,1844,2827,401
2963,1881,3544,3488,1848,2860,401
2939,1872,3549,3473,1816,2855,401
2944,1867,3488,3511,1840,2832,401
2972,1877,3549,3445,1821,2836,401
2911,1900,3581,3469,1858,2855,412
2949,1867,3557,3488,1826,2855,401
2921,1877,3525,3478,1821,2850,401
2944,1891,3520,3488,1844,2841,401
2916,1914,3576,3464,1844,2832,401
2958,1905,3534,3473,1844,2841,401
2939,1877,3511,3464,1811,2841,401
2944,1872,3595,3469,1835,2846,401
2921,1891,3557,3488,1848,2855,401
2939,1895,3539,3441,1840,2860,401
2939,1909,3534,3464,1826,2846,401
2944,1844,3502,3445,1840,2836,412
2921,1858,3502,3492,1821,2836,401
2916,1919,3543,3492,1840,2878,401
2925,1886,3530,3478,1826,2883,401
2911,1877,3628,3473,1849,2864,412
2963,1858,3539,3459,1802,2860,401
2925,1891,3557,3436,1830,2860,401
2944,1895,3548,3483,1826,2860,401
2949,1905,3548,3502,1848,2832,412
2930,1923,3548,3483,1848,2841,401
2939,1877,3506,3483,1844,2855,401
2911,1900,3609,3492,1826,2878,401
2892,1872,3534,3473,1844,2827,401
2944,1886,3562,3502,1849,2846,401
2897,1858,3534,3459,1858,2850,401
2916,1872,3549,3502,1872,2827,401
2921,1895,3581,3469,1835,2850,412
2939,1877,3549,3506,1830,2850,401
2911,1877,3604,3497,1826,2855,389
2921,1862,3511,3478,1840,2836,401
2925,1872,3581,3488,1826,2846,401
2916,1891,3525,3450,1816,2860,401
2916,1895,3562,3497,1797,2846,401
2916,1881,3543,3478,1835,2860,401
2944,1881,3534,3478,1816,2878,401
2925,1909,3534,3445,1848,2860,401
2897,1867,3604,3459,1840,2827,401
2939,1881,3539,3506,1844,2850,401
2897,1881,3609,3506,1849,2836,401
2935,1862,3544,3455,1835,2850,401
2925,1881,3534,3469,1849,2827,412
2925,1891,3585,3473,1826,2850,401
2949,1895,3543,3520,1830,2832,401
2949,1862,3549,3534,1835,2855,412
2935,1895,3553,3506,1853,2836,401
2958,1909,3506,3525,1811,2832,401
2949,1867,3534,3483,1821,2883,401
2930,1872,3576,3502,1797,2846,401
