USER_DATA1,USER_DATA2,USER_DATA3,USER_DATA4,USER_DATA5,USER_DATA6,USER_DATA7
2916,1900,3525,3539,1844,2836,366
2897,1872,3567,3548,1821,2832,366
2916,1872,3539,3502,1826,2841,366
2944,1891,3520,3488,1830,2846,366
2968,1895,3502,3525,1811,2813,366
2968,1862,3539,3478,1840,2827,366
2935,1872,3502,3511,1840,2841,378
2916,1867,3516,3525,1826,2878,366
2949,1895,3553,3530,1811,2846,366
2925,1862,3530,3539,1835,2822,366
2944,1872,3534,3548,1807,2846,366
2982,1877,3553,3553,1830,2855,366
2939,1886,3548,3469,1853,2841,366
2977,1886,3534,3502,1844,2836,366
2921,1877,3511,3502,1853,2832,366
2968,1886,3548,3516,1783,2841,366
2935,1858,3544,3488,1872,2836,366
2925,1881,3502,3492,1802,2869,366
2916,1858,3543,3520,1830,2855,366
2949,1891,3483,3488,1844,2827,366
2921,1867,3544,3497,1821,2841,366
2925,1900,3530,3506,1840,2892,366
2958,1872,3595,3544,1844,2822,366
2911,1867,3525,3483,1853,2850,366
2902,1900,3520,3497,1848,2850,366
2930,1858,3544,3520,1826,2817,366
2944,1862,3581,3530,1840,2841,366
2958,1919,3544,3483,1848,2869,366
2907,1877,3548,3520,1853,2836,366
2921,1881,3553,3530,1835,2832,366
2930,1891,3530,3502,1844,2846,366
2911,1872,3534,3502,1844,2846,366
2963,1905,3539,3530,1821,2855,366
2949,1862,3543,3520,1802,2850,366
2958,1895,3516,3478,1821,2827,366
2921,1891,3562,3543,1849,2855,366
2953,1872,3530,3544,1826,2836,366
2907,1881,3539,3473,1844,2864,366
2925,1895,3549,3520,1830,2860,366
2953,1886,3562,3539,1867,2846,366
2907,1900,3511,3520,1835,2822,378
2930,1877,3516,3483,1816,2817,366
2944,1891,3511,3492,1835,2817,378
2958,1895,3530,3488,1826,2809,378
2968,1877,3543,3516,1849,2841,366
2991,1919,3549,3525,1830,2855,366
2949,1877,3544,3502,1830,2841,366
2897,1881,3534,3516,1840,2864,366
2977,1909,3502,3478,1835,2888,366
2963,1867,3497,3483,1840,2888,366
2958,1909,3548,3488,1840,2822,366
2972,1905,3539,3544,1826,2836,366
2968,1867,3544,3525,1830,2860,366
2892,1909,3502,3516,1849,2817,366
2883,1900,3553,3478,1840,2841,366
2977,1886,3576,3530,1849,2836,378
2935,1872,3585,3455,1844,2869,366
2953,1905,3571,3530,1802,2813,366
2939,1877,3548,3520,1802,2878,366
2968,1900,3567,3520,1779,2832,366
2930,1886,3576,3497,1862,2883,366
2930,1867,3549,3492,1816,2850,378
2939,1900,3511,3478,1826,2860,366
2935,1914,3530,3497,1844,2850,366
2907,1877,3553,3525,1853,2846,366
2982,1877,3553,3497,1867,2874,378
2982,1895,3585,3511,1844,2827,366
2963,1877,3502,3525,1848,2827,366
2963,1933,3585,3473,1849,2860,366
2944,1867,3506,3516,1830,2841,366
2939,1891,3571,3562,1830,2864,366
2935,1909,3530,3511,1844,2869,366
2972,1881,3557,3483,1862,2817,366
2944,1891,3553,3469,1802,2822,366
2953,1872,3511,3492,1840,2827,366
2944,1877,3525,3553,1830,2841,378
2968,1900,3581,3497,1830,2878,378
2968,1900,3520,3543,1848,2878,366
2939,1895,3520,3488,1811,2860,366
2958,1877,3525,3511,1853,2855,366
2935,1914,3549,3497,1826,2855,366
2939,1891,3557,3488,1793,2832,366
2925,1886,3506,3492,1835,2864,378
2935,1919,3525,3506,1840,2836,378
2939,1881,3539,3483,1830,2817,378
2949,1895,3534,3534,1830,2832,366
2986,1909,3492,3497,1844,2850,378
2930,1877,3520,3488,1835,2855,366
2968,1914,3530,3478,1844,2832,366
2935,1872,3576,3502,1844,2841,378
2925,1886,3609,3506,1858,2846,366
2930,1891,3520,3488,1840,2841,378
2939,1905,3516,3488,1835,2883,378
2935,1900,3520,3530,1853,2841,378
2944,1881,3502,3459,1835,2827,366
2930,1881,3525,3534,1835,2836,366
2953,1895,3534,3553,1807,2827,366
2944,1891,3492,3502,1844,2855,366
2949,1905,3567,3497,1826,2864,378
2935,1867,3502,3502,1816,2832,366
2902,1909,3520,3548,1826,2836,378
2944,1928,3478,3534,1811,2827,366
2916,1862,3590,3530,1835,2860,366
2935,1872,3488,3543,1797,2846,378
2916,1900,3567,3530,1830,2846,366
2935,1877,3511,3511,1830,2864,366
2907,1886,3488,3492,1835,2846,378
2930,1909,3549,3488,1807,2827,378
2972,1858,3553,3539,1835,2874,378
2977,1881,3548,3567,1830,2855,378
2972,1919,3553,3543,1835,2841,378
2977,1891,3478,3557,1840,2864,378
2921,1895,3511,3506,1816,2874,378
2944,1867,3483,3483,1844,2841,378
2949,1900,3534,3530,1840,2860,378
2949,1919,3525,3534,1840,2846,378
2930,1891,3553,3473,1862,2850,366
2968,1900,3567,3497,1797,2869,366
2916,1881,3525,3534,1835,2841,378
2935,1891,3473,3516,1840,2822,378
2911,1905,3525,3534,1830,2841,378
2963,1938,3525,3488,1821,2850,366
2921,1881,3511,3497,1830,2846,378
2953,1900,3520,3525,1848,2827,378
2953,1905,3553,3483,1849,2869,378
2921,1905,3511,3464,1844,2827,366
2911,1900,3557,3497,1816,2846,378
2944,1886,3497,3483,1821,2846,378
2939,1928,3581,3464,1830,2869,378
2935,1909,3539,3549,1830,2841,378
2925,1858,3516,3492,1826,2855,378
2930,1886,3581,3516,1835,2836,378
2907,1881,3511,3557,1830,2841,378
2935,1909,3530,3506,1853,2855,378
2953,1877,3502,3539,1816,2850,366
2953,1877,3548,3539,1844,2850,366
2949,1891,3473,3488,1830,2841,378
2921,1872,3506,3488,1844,2841,378
2916,1919,3497,3488,1826,2841,378
2963,1891,3506,3539,1849,2846,378
2944,1919,3497,3464,1853,2855,378
2921,1905,3497,3488,1830,2836,378
2930,1877,3506,3492,1840,2841,378
2939,1881,3511,3506,1840,2888,378
2958,1900,3492,3469,1858,2864,378
2925,1928,3492,3497,1844,2855,378
2921,1909,3543,3534,1848,2855,378
2921,1895,3502,3459,1811,2874,378
2902,1923,3520,3483,1821,2846,378
2958,1905,3492,3511,1835,2864,378
2958,1881,3543,3534,1835,2846,378
2977,1905,3553,3492,1826,2832,378
2911,1891,3483,3539,1849,2841,366
2935,1853,3478,3497,1826,2892,378
2949,1886,3525,3544,1849,2850,378
2925,1905,3544,3469,1849,2822,378
2916,1933,3553,3534,1840,2874,378
2963,1891,3539,35055,1840,2841,378
2925,1905,3543,3544,1844,2836,378
2944,1891,3506,3502,1840,2836,378
2925,1891,3571,3534,1844,2832,378
2916,1900,3544,3464,1849,2883,378
2935,1923,3530,3497,1830,2832,366
2930,1867,3520,3520,1844,2855,378
2930,1881,3502,3483,1844,2860,366
2991,1900,3469,3539,1840,2841,378
2935,1905,3549,3511,1802,2846,366
2935,1905,3506,3539,1821,2864,378
2907,1895,3492,3530,1849,2850,366
2963,1881,3549,3539,1835,2841,378
2958,1853,3506,3539,1844,2860,378
2944,1891,3548,3549,1830,2822,378
2953,1900,3544,3553,1830,2841,378
2930,1853,3530,3492,1826,2832,378
2972,1877,3544,3488,1840,2874,378
2921,1909,3544,3539,1844,2841,378
2968,1881,3544,3530,1830,2822,378
2982,1900,3483,3488,1826,2864,378
2968,1877,3516,3506,1802,2841,378
2921,1891,3469,3483,1830,2855,378
2930,1877,3520,3478,1844,2846,378
2968,1872,3520,3511,1811,2836,378
2982,1877,3553,3478,1844,2841,378
2939,1881,3530,3557,1830,2883,378
2916,1895,3553,3525,1844,2841,378
2949,1895,3511,3539,1849,2817,378
2958,1881,3497,3525,1821,2827,378
2949,1895,3544,3492,1826,2822,378
2949,1900,3506,3506,1821,2817,378
2958,1886,3530,3483,1844,2850,378
2953,1886,3497,3488,1840,2846,378
2935,1909,3511,3525,1840,2850,378
2921,1872,3525,3516,1848,2869,378
2916,1891,3595,3530,1830,2869,378
2972,1905,3530,3492,1830,2869,378
2953,1867,3511,3516,1835,2855,378
2939,1895,3497,3516,1840,2836,378
2911,1914,3530,3478,1840,2855,378
2925,1905,3492,3478,1848,2832,378
2953,1891,3497,3497,1849,2846,378
2958,1881,3497,3516,1830,2841,378
2963,1877,3483,3492,1844,2878,378
2944,1877,3497,3534,1849,2846,378
2968,1886,3511,3492,1844,2846,378
2921,1891,3590,3459,1835,2850,378
2953,1895,3502,3539,1835,2850,378
2944,1881,3492,3497,1816,2836,378
2949,1872,3628,3511,1807,2869,378
2939,1900,3567,3506,1844,2855,378
2935,1886,3506,3455,1835,2832,378
2939,1872,3520,3534,1826,2836,378
2953,1914,3585,3469,1844,2841,378
2949,1895,3534,3483,1830,2869,378
2944,1909,3506,3506,1858,2832,378
2930,1909,3506,3544,1853,2883,378
2930,1877,3590,3511,1830,2827,378
2930,1891,3581,3516,1840,2836,378
2921,1877,3530,3516,1844,2836,378
2939,1905,3530,3530,1849,2817,378
2949,1881,3511,3539,1840,2864,378
2930,1877,3497,3534,1853,2846,378
2930,1900,3553,3534,1807,2827,378
2935,1867,3450,3539,1807,2846,378
2953,1895,3492,3478,1826,2841,378
2930,1867,3497,3488,1849,2841,378
2949,1891,3450,3497,1849,2841,389
2958,1891,3506,3483,1849,2817,378
2939,1891,3459,3553,1811,2860,378
2930,1891,3549,3511,1840,2864,389
2907,1881,3544,3469,1816,2855,378
2968,1905,3567,3502,1844,2827,378
2916,1895,3549,3516,1835,2850,378
2944,1891,3502,3483,1844,2864,378
2902,1877,3488,3530,1840,2888,378
2935,1900,3464,3497,1811,2850,378
2949,1881,3459,3473,1844,2817,389
2944,1881,3544,3534,1821,2836,378
2958,1872,3469,3497,1840,2874,378
2916,1891,3525,3516,1844,2846,378
2949,1905,3520,3502,1821,2822,378
2968,1895,3511,3525,1835,2841,378
2916,1905,3530,3520,1849,2855,378
2925,1858,3562,3553,1844,2874,378
2958,1891,3516,3502,1826,2841,389
2939,1886,3520,3539,1816,2846,378
2935,1891,3520,3544,1821,2827,378
2949,1877,3497,3544,1867,2869,389
2986,1905,3576,3534,1830,2822,378
2930,1881,3543,3525,1844,2832,378
2944,1891,3520,3492,1830,2860,378
2939,1900,3469,3549,1840,2827,378
2949,1905,3520,3511,1830,2869,378
2958,1858,3469,3492,1848,2850,389
2925,1909,3525,3497,1840,2850,378
2953,1881,3604,3520,1844,2864,378
2921,1919,3520,3464,1840,2855,378
2949,1891,3497,3506,1840,2836,378
2968,1905,3502,3525,1830,2836,389
2930,1891,3530,3478,1826,2860,378
2930,1881,3483,3473,1840,2836,378
2968,1872,3516,3502,1835,2846,378
2963,1900,3516,3525,1849,2860,378
2935,1891,3520,3520,1835,2836,378
2939,1872,3488,3525,1840,2864,389
2921,1891,3478,3506,1849,2850,389
2958,1881,3585,3492,1840,2860,378
2921,1881,3492,3516,1816,2836,378
2930,1858,3539,3516,1835,2855,378
2977,1900,3571,3520,1826,2827,378
2921,1858,3543,3511,1835,2850,378
2963,1891,3539,3525,1840,2832,389
2930,1886,3492,3506,1816,2822,389
2944,1905,3516,3483,1835,2850,378
2963,1909,3530,3497,1802,2850,378
2916,1877,3469,3516,1849,2869,389
2930,1905,3473,3506,1797,2846,378
2944,1872,3525,3506,1826,2841,378
2949,1909,3553,3530,1802,2836,389
2939,1895,3539,3525,1826,2841,378
2921,1891,3492,3516,1816,2874,389
2939,1877,3557,3516,1853,2841,378
2944,1900,3520,3497,1826,2841,378
2953,1909,3459,3506,1826,2846,378
2968,1862,3539,3520,1826,2860,378
2907,1914,3553,3492,1858,2878,389
2953,1881,3511,3511,1793,2836,389
2949,1881,3548,3497,1835,2841,378
2963,1900,3502,3520,1826,2846,389
2930,1862,3544,3516,1830,2822,389
2958,1891,3553,3483,1835,2832,378
2930,1886,3571,3511,1840,2817,378
2968,1891,3548,3502,1826,2850,389
2963,1919,3497,3511,1844,2864,378
2968,1891,3497,3497,1844,2855,378
2925,1877,3506,3530,1811,2860,378
2949,1895,3520,3492,1830,2822,378
2958,1919,3511,3530,1840,2846,389
2935,1877,3544,3492,1816,2836,378
2963,1914,3553,3534,1826,2850,378
2907,1881,3511,3530,1816,2850,378
2972,1872,3539,3520,1849,2883,378
2963,1914,3478,3488,1844,2836,378
2953,1877,3473,3502,1840,2817,378
2935,1881,3455,3488,1862,2832,378
2953,1914,3469,3502,1844,2860,389
2925,1895,3520,3525,1826,2836,389
2953,1877,3502,3549,1840,2855,389
2977,1900,3511,3511,1858,2836,378
2944,1881,3483,3544,1858,2888,378
2930,1886,3502,3516,1849,2832,378
2972,1900,3464,3549,1867,2850,378
2996,1862,3502,3502,1844,2832,378
2916,1900,3525,3502,1858,2855,389
2911,1905,3483,3511,1816,2841,378
2958,1867,3576,3478,1844,2832,389
2939,1900,3492,3492,1826,2846,378
2968,1895,3497,3502,1844,2836,378
2949,1900,3483,3492,1830,2846,378
2986,1895,3516,3478,1849,2855,389
2963,1877,3539,3497,1840,2836,389
2953,1933,3525,3520,1816,2841,378
2968,1872,3525,3534,1862,2846,378
2963,1886,3549,3492,1826,2864,378
2935,1909,3478,3530,1826,2827,389
2939,1886,3534,3520,1826,2841,378
2916,1867,3483,3478,1849,2841,389
2916,1909,3497,3530,1844,2836,378
2907,1862,3511,3483,1835,2836,389
2958,1914,3511,3534,1821,2864,378
2949,1877,3502,3548,1844,2841,389
2911,1895,3483,3506,1835,2855,389
2944,1886,3534,3488,1811,2869,389
2972,1872,3534,3483,1849,2878,389
2953,1877,3502,3525,1811,2869,389
2963,1909,3525,3511,1844,2860,378
2935,1881,3581,3516,1862,2883,389
2925,1881,3492,3511,1853,2869,378
2972,1905,3492,3516,1835,2850,378
3010,1886,3469,3511,1807,2860,378
2958,1877,3478,3506,1811,2874,389
2911,1905,3502,3544,1849,2836,389
2935,1881,3549,3497,1849,2860,378
2953,1900,3488,3530,1844,2850,389
2916,1877,3511,3549,1811,2822,378
2949,1862,3492,3516,1807,2836,389
2963,1914,3548,3488,1881,2832,389
2907,1900,3567,3511,1821,2850,389
2968,1872,3478,3534,1830,2818,389
2963,1895,3549,3497,1840,2846,389
2953,1900,3530,3516,1844,2855,389
2986,1886,3511,3502,1826,2836,389
2930,1905,3502,3497,1844,2860,378
2963,1881,3544,3534,1867,2836,378
2935,1877,3571,3473,1849,2836,389
2944,1900,3478,3506,1840,2846,378
2963,1886,3567,3539,1853,2827,389
2968,1886,3557,3530,1858,2841,389
2996,1891,3445,3497,1821,2850,389
2982,1886,3553,3530,1848,2841,389
2930,1914,3548,3473,1811,2836,389
2953,1895,3502,3469,1840,2902,389
2953,1872,3488,3534,1826,2836,378
2953,1905,3483,3502,1849,2841,389
2972,1886,3497,3557,1844,2860,389
2916,1858,3478,3511,1849,2841,378
2958,1886,3506,3516,1821,2869,389
2953,1858,3534,3506,1797,2860,389
2958,1886,3543,3478,1840,2846,389
2944,1881,3544,3441,1844,2836,389
2925,1853,3473,3464,1844,2846,389
2963,1900,3525,3525,1849,2836,389
2949,1891,3520,3483,1844,2836,389
2935,1886,3492,3520,1844,2836,389
2939,1909,3492,3543,1835,2836,389
2953,1886,3530,3543,1830,2846,389
2925,1872,3544,3436,1835,2841,389
2968,1891,3478,3562,1844,2850,389
2935,1877,3530,3525,1826,2850,389
2963,1895,3488,3502,1807,2860,378
2916,1872,3562,3502,1840,2841,389
2972,1900,3520,3530,1840,2869,389
2972,1886,3567,3549,1840,2846,378
2958,1872,3539,3516,1849,2836,389
2921,1895,3483,3511,1830,2836,389
2953,1862,3539,3488,1844,2846,378
2925,1891,3544,3497,1849,2817,389
2939,1909,3516,3506,1844,2841,378
2935,1909,3488,3502,1821,2817,389
2921,1891,3516,3520,1848,2846,389
2986,1909,3506,3502,1844,2841,389
2935,1891,3502,3543,1853,2846,401
2911,1900,3502,3520,1835,2855,389
2930,1909,3497,3511,1849,2827,389
2982,1881,3478,3506,1853,2860,389
2944,1895,3459,3473,1826,2855,378
2925,1881,3506,3488,1853,2841,389
2953,1877,3530,3534,1844,2855,389
2935,1872,3473,3483,1835,2813,389
2949,1886,3544,3511,1816,2850,389
2944,1867,3548,3525,1844,2836,389
2953,1909,3520,3502,1826,2869,389
2958,1867,3604,3548,1848,2827,378
2977,1862,3567,3502,1835,2869,389
2921,1895,3483,3520,1844,2846,389
2911,1881,3544,3488,1793,2850,389
2930,1872,3543,3506,1830,2883,389
2953,1905,3497,3534,1830,2864,389
2944,1909,3478,3525,1844,2874,389
2972,1877,3506,3502,1816,2892,389
2930,1905,3441,3445,1826,2855,389
2935,1886,3544,3506,1844,2864,389
2953,1891,3553,3511,1821,2832,389
2963,1905,3562,3520,1849,2836,389
2953,1886,3557,3511,1844,2836,389
2921,1877,3473,3520,1844,2827,389
2921,1891,3604,3502,1835,2855,389
2968,1900,3553,3539,1844,2827,389
2968,1881,3553,3492,1807,2855,389
2953,1914,3450,3530,1840,2855,389
2939,1891,3445,3492,1830,2841,389
2977,1891,3469,3516,1858,2855,389
2953,1900,3469,3516,1844,2855,389
2930,1895,3436,3478,1858,2841,389
2944,1900,3548,3539,1844,2860,389
2958,1909,3525,3516,1830,2850,389
2968,1867,3469,3492,1844,2855,389
2949,1895,3469,3511,1844,2855,389
2930,1877,3595,3511,1849,2883,389
2963,1872,3544,3497,1816,2883,389
2921,1928,3544,3506,1853,2855,389
2958,1895,3539,3506,1849,2827,389
2953,1886,3516,3543,1844,2822,389
2930,1877,3488,3511,1840,2822,389
2935,1905,3534,3478,1835,2850,401
2968,1881,3549,3520,1844,2850,389
2930,1881,3539,3525,1835,2836,389
2958,1909,3557,3511,1844,2846,389
2953,1877,3544,3520,1830,2855,389
2968,1886,3530,3530,1821,2869,389
2925,1895,3525,3544,1840,2818,389
2953,1862,3549,3534,1858,2869,389
2944,1905,3516,3483,1849,2832,389
2939,1905,3557,3492,1840,2860,389
2930,1891,3473,3502,1844,2841,389
2963,1886,3520,3506,1844,2836,389
2949,1891,3534,3534,1858,2855,389
2958,1905,3525,3511,1881,2841,389
2972,1905,3530,3516,1835,2827,389
2953,1881,3576,3497,1844,2841,389
2963,1877,3483,3516,1826,2846,389
2949,1914,3492,3502,1881,2855,389
2958,1877,3567,3492,1835,2846,401
2972,1923,3497,3502,1840,2836,389
2953,1895,3525,3469,1830,2832,389
2958,1886,3488,3506,1840,2846,389
2953,1881,3488,3506,1849,2869,389
2925,1877,3502,3511,1788,2846,389
2939,1881,3483,3544,1816,2855,389
2925,1905,3520,3502,1844,2850,389
2977,1881,3511,3506,1840,2827,389
2935,1923,3534,3473,1835,2855,389
2944,1877,3473,3534,1830,2850,389
